area_code,hb_name,date_code,value_percent,distance_to_nearest_green_or_blue_space,age,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity
S12000005,NHS Forth Valley,2017,6,An 11 minute walk or more,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2013,9,An 11 minute walk or more,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2019,3,An 11 minute walk or more,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2015,5,An 11 minute walk or more,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2013,76,A 5 minute walk or less,16-34 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2013,65,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2013,22,Within a 6-10 minute walk,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2013,13,Within a 6-10 minute walk,16-34 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2013,70,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2014,71,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2014,82,A 5 minute walk or less,16-34 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2014,81,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2019,78,A 5 minute walk or less,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2018,22,Within a 6-10 minute walk,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2017,12,Within a 6-10 minute walk,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2017,86,A 5 minute walk or less,16-34 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2013,25,Within a 6-10 minute walk,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2017,7,An 11 minute walk or more,All,All,All,All,All,With Children,All
S12000005,NHS Forth Valley,2014,2,An 11 minute walk or more,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2014,2,An 11 minute walk or more,All,All,All,All,All,With Children,All
S12000005,NHS Forth Valley,2014,1,An 11 minute walk or more,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2014,1,An 11 minute walk or more,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2014,1,An 11 minute walk or more,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2013,20,Within a 6-10 minute walk,All,All,All,All,All,With Children,All
S12000005,NHS Forth Valley,2013,20,Within a 6-10 minute walk,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2018,21,Within a 6-10 minute walk,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2018,14,Within a 6-10 minute walk,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2013,10,An 11 minute walk or more,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2013,8,An 11 minute walk or more,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2013,9,An 11 minute walk or more,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2013,7,An 11 minute walk or more,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2013,9,An 11 minute walk or more,All,All,All,All,All,With Children,All
S12000005,NHS Forth Valley,2013,8,An 11 minute walk or more,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2016,20,Within a 6-10 minute walk,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2016,26,Within a 6-10 minute walk,16-34 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2014,2,An 11 minute walk or more,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2015,16,Within a 6-10 minute walk,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2019,16,Within a 6-10 minute walk,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2015,32,Within a 6-10 minute walk,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2016,30,Within a 6-10 minute walk,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2014,70,A 5 minute walk or less,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2014,15,Within a 6-10 minute walk,All,All,All,80% least deprived,All,All,All
S12000005,NHS Forth Valley,2017,8,An 11 minute walk or more,All,All,All,80% least deprived,All,All,All
S12000005,NHS Forth Valley,2014,0,Don't Know,All,All,All,80% least deprived,All,All,All
S12000005,NHS Forth Valley,2015,67,A 5 minute walk or less,All,All,All,80% least deprived,All,All,All
S12000005,NHS Forth Valley,2018,74,A 5 minute walk or less,All,All,All,80% least deprived,All,All,All
S12000005,NHS Forth Valley,2019,81,A 5 minute walk or less,All,All,All,80% least deprived,All,All,All
S12000005,NHS Forth Valley,2018,13,Within a 6-10 minute walk,All,All,All,80% least deprived,All,All,All
S12000005,NHS Forth Valley,2018,47,A 5 minute walk or less,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2013,12,An 11 minute walk or more,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2018,26,An 11 minute walk or more,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2017,79,A 5 minute walk or less,All,All,All,80% least deprived,All,All,All
S12000005,NHS Forth Valley,2018,72,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2018,63,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2019,76,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2018,67,A 5 minute walk or less,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2019,76,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2015,21,Within a 6-10 minute walk,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2017,76,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2016,75,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2015,57,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2015,77,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2018,18,Within a 6-10 minute walk,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2017,78,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2016,66,A 5 minute walk or less,16-34 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2016,56,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2017,12,Within a 6-10 minute walk,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2018,12,Within a 6-10 minute walk,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2018,24,Within a 6-10 minute walk,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2017,77,A 5 minute walk or less,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2015,6,An 11 minute walk or more,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2014,1,An 11 minute walk or more,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2017,11,An 11 minute walk or more,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2013,62,A 5 minute walk or less,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2016,53,A 5 minute walk or less,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2016,15,An 11 minute walk or more,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2019,69,A 5 minute walk or less,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2017,10,Within a 6-10 minute walk,All,All,All,20% most deprived,All,All,All
S12000005,NHS Forth Valley,2014,14,Within a 6-10 minute walk,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2015,20,Within a 6-10 minute walk,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2015,23,Within a 6-10 minute walk,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2013,20,Within a 6-10 minute walk,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2015,20,Within a 6-10 minute walk,All,All,All,All,All,With Children,All
S12000005,NHS Forth Valley,2015,23,Within a 6-10 minute walk,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2016,28,Within a 6-10 minute walk,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2016,30,Within a 6-10 minute walk,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2014,24,Within a 6-10 minute walk,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2014,16,Within a 6-10 minute walk,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2014,17,Within a 6-10 minute walk,All,All,All,All,All,With Children,All
S12000005,NHS Forth Valley,2014,26,Within a 6-10 minute walk,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2014,19,Within a 6-10 minute walk,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2015,27,Within a 6-10 minute walk,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2015,27,Within a 6-10 minute walk,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2013,27,Within a 6-10 minute walk,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2013,21,Within a 6-10 minute walk,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2014,15,Within a 6-10 minute walk,16-34 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2016,21,Within a 6-10 minute walk,All,All,All,All,All,With Children,All
S12000005,NHS Forth Valley,2019,14,Within a 6-10 minute walk,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2018,16,Within a 6-10 minute walk,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2019,14,Within a 6-10 minute walk,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2019,18,Within a 6-10 minute walk,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2018,10,Within a 6-10 minute walk,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2014,19,Within a 6-10 minute walk,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2014,25,Within a 6-10 minute walk,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2017,19,Within a 6-10 minute walk,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2017,12,Within a 6-10 minute walk,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2017,6,Within a 6-10 minute walk,16-34 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2016,32,Within a 6-10 minute walk,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2013,17,Within a 6-10 minute walk,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2013,75,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2013,74,A 5 minute walk or less,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2013,71,A 5 minute walk or less,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2019,14,Within a 6-10 minute walk,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2019,17,Within a 6-10 minute walk,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2016,24,Within a 6-10 minute walk,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2016,21,Within a 6-10 minute walk,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2016,23,Within a 6-10 minute walk,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2019,17,Within a 6-10 minute walk,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2019,75,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2018,72,A 5 minute walk or less,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2018,55,A 5 minute walk or less,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2016,68,A 5 minute walk or less,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2016,74,A 5 minute walk or less,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2018,59,A 5 minute walk or less,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2018,66,A 5 minute walk or less,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2014,81,A 5 minute walk or less,All,All,All,All,All,With Children,All
S12000005,NHS Forth Valley,2016,75,A 5 minute walk or less,All,All,All,All,All,With Children,All
